StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,66835,882,268,3913,3349,75247,0.95
ACT,101,Canberra,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,47095,427,183,2749,3019,53473,-0.95
ACT,102,Fenner,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,70531,1156,330,3665,3560,79242,1.4
ACT,102,Fenner,28983,GUNNING,Robert,3,N,N,LP,Liberal,39562,625,185,1919,2489,44780,-1.4
NSW,103,Banks,28951,GAMBIAN,Chris,1,N,N,ALP,Labor,36655,2105,242,1663,2957,43622,1.36
NSW,103,Banks,28660,COLEMAN,David,4,Y,Y,LP,Liberal,38743,1687,181,1605,3994,46210,-1.36
NSW,104,Barton,28636,VARVARIS,Nickolas,2,N,Y,LP,Liberal,30513,1957,170,1340,2591,36571,-3.91
NSW,104,Barton,28964,BURNEY,Linda,3,Y,N,ALP,Labor,42767,3263,293,1736,3072,51131,3.91
NSW,105,Bennelong,28886,HOWISON,Lyndal,1,N,N,ALP,Labor,30334,1903,144,1732,3041,37154,-1.95
NSW,105,Bennelong,28568,ALEXANDER,John,6,Y,Y,LP,Liberal,45160,2172,157,2144,5444,55077,1.95
NSW,106,Berowra,28564,LEESER,Julian,1,Y,N,LP,Liberal,52061,2734,147,1899,5629,62470,-2.6
NSW,106,Berowra,28927,ANDREWS,Josh,2,N,N,ALP,Labor,26211,1656,93,1232,2355,31547,2.6
NSW,107,Blaxland,28931,CLARE,Jason,1,Y,Y,ALP,Labor,47872,2933,406,1454,2842,55507,8.24
NSW,107,Blaxland,28704,FINDLAY,Felicity,4,N,N,LP,Liberal,20017,1486,105,909,1861,24378,-8.24
