StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,49382,581,202,2533,2393,55091,1.65
ACT,101,Canberra,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,16659,274,62,1319,886,19200,1.86
ACT,101,Canberra,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,5087,86,19,401,420,6013,0.51
ACT,101,Canberra,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,42802,368,168,2409,2669,48416,0.28
ACT,101,Canberra,999,Informal,Informal,999,N,N,,Informal,3318,29,26,127,90,3590,-1.14
ACT,102,Fenner,28190,LEIGH,Andrew Keith,1,Y,Y,ALP,Australian Labor Party,50876,818,249,2379,2474,56796,0.96
ACT,102,Fenner,28200,WOODMAN,Andrew,2,N,N,IND,Independent,4091,75,22,219,300,4707,3.8
ACT,102,Fenner,28983,GUNNING,Robert,3,N,N,LP,Liberal,34476,529,152,1628,2145,38930,-0.33
ACT,102,Fenner,28320,SAEEDI,Carly,4,N,N,GRN,The Greens,16592,290,74,1124,849,18929,1.5
ACT,102,Fenner,29372,BOHM,Tim,5,N,N,BTA,Bullet Train For Australia,4058,69,18,234,281,4660,-0.24
ACT,102,Fenner,999,Informal,Informal,999,N,N,,Informal,3303,76,17,109,90,3595,-0.99
NSW,103,Banks,28951,GAMBIAN,Chris,1,N,N,ALP,Labor,30446,1612,206,1275,2351,35890,0.08
NSW,103,Banks,29208,WU,Sharon,2,N,N,FFP,Family First,1232,115,6,114,154,1621,1.8
NSW,103,Banks,28649,CLARK,Philippa,3,N,N,GRN,The Greens,4229,344,18,291,343,5225,0.77
NSW,103,Banks,28660,COLEMAN,David,4,Y,Y,LP,Liberal,33119,1376,149,1320,3459,39423,-3.83
NSW,103,Banks,28639,BONDAR,Greg,5,N,N,CDP,Christian Democratic Party (Fred Nile Group),4126,158,25,145,323,4777,2.91
NSW,103,Banks,29097,BARNES,Roy Owen,6,N,N,AJP,Animal Justice Party,1211,98,9,59,178,1555,1.73
NSW,103,Banks,29327,SPANSWICK,Bob,7,N,N,IND,Independent,1035,89,10,64,143,1341,1.49
NSW,103,Banks,999,Informal,Informal,999,N,N,,Informal,6022,317,46,127,144,6656,-2.19
NSW,104,Barton,28057,TORKEL,Rasmus,1,N,N,IND,Independent,1770,185,23,104,154,2236,2.55
NSW,104,Barton,28636,VARVARIS,Nickolas,2,N,Y,LP,Liberal,25981,1559,136,1116,2246,31038,-2.88
