Candidate,Party abbreviation,Party name,Electorate,Votes
"XAVIER, Francis",CLP,Country Liberal,Arafura,1546
"RIOLI, Dean",ALP,Labor,Arafura,1488
"LAMBLEY, Robyn",CLP,Country Liberal,Araluen,2612
"FINDLAY, Adam",ALP,Labor,Araluen,1008
"McCARTHY, Malarndirri",ALP,Labor,Arnhem,1102
"LEE, Larisa",CLP,Country Liberal,Arnhem,1366
"McCARTHY, Gerry",ALP,Labor,Barkly,1849
"HEALY, Rebecca",CLP,Country Liberal,Barkly,1361
"BAHNERT, Geoff",ALP,Labor,Blain,1470
"MILLS, Terry",CLP,Country Liberal,Blain,2529
"ROCK, Deborah",ALP,Labor,Braitling,918
"GILES, Adam",CLP,Country Liberal,Braitling,2592
"CHANDLER, Peter",CLP,Country Liberal,Brennan,2683
"JEFFREY, Russell",ALP,Labor,Brennan,1493
"VATSKALIS, Kon",ALP,Labor,Casuarina,2512
"JOHNSON, Jane",CLP,Country Liberal,Casuarina,1724
"HIGGINS, Gary",CLP,Country Liberal,Daly,2022
"KNIGHT, Rob",ALP,Labor,Daly,1679
"BURKE, James",ALP,Labor,Drysdale,1431
"FINOCCHIARO, Lia",CLP,Country Liberal,Drysdale,2704
"GUNNER, Michael",ALP,Labor,Fannie Bay,2263
"CLEMENTSON, Tony",CLP,Country Liberal,Fannie Bay,1724
"MARSH, Ashley",ALP,Labor,Fong Lim,1607
"TOLLNER, David",CLP,Country Liberal,Fong Lim,2154
"PURICK, Kezia",CLP,Country Liberal,Goyder,2929
"SMITH, Damien",ALP,Labor,Goyder,1462
"FOLEY, Rowan",ALP,Labor,Greatorex,1236
"CONLAN, Matt",CLP,Country Liberal,Greatorex,2278
"SANGSTER, Jo",CLP,Country Liberal,Johnston,1774
"VOWLES, Ken",ALP,Labor,Johnston,2224
"LAWRIE, Delia",ALP,Labor,Karama,2219
"KELLY, Rohan",CLP,Country Liberal,Karama,1716
"KING, Cerise",ALP,Labor,Katherine,1146
"WESTRA VAN HOLTHE, Willem",CLP,Country Liberal,Katherine,2984
"ROGERS, Des",ALP,Labor,Namatjira,918
"ANDERSON, Alison",CLP,Country Liberal,Namatjira,2006
"WOOD, Gerry",IND,Independent,Nelson,2177
"COLE, Judy",CLP,Country Liberal,Nelson,1503
"FANNING, Allen",CLP,Country Liberal,Nhulunbuy,876
"WALKER, Lynne",ALP,Labor,Nhulunbuy,1948
"FYLES, Natasha",ALP,Labor,Nightcliff,2301
"LOVEDAY, Kim",CLP,Country Liberal,Nightcliff,1592
"ELFERINK, John",CLP,Country Liberal,Port Darwin,2175
"JAMES, Alan",ALP,Labor,Port Darwin,1471
"GREEN, Jodie",ALP,Labor,Sanderson,2041
"STYLES, Peter",CLP,Country Liberal,Sanderson,2311
"PRICE, Bess",CLP,Country Liberal,Stuart,1484
"HAMPTON, Karl",ALP,Labor,Stuart,1297
"HENDERSON, Paul",ALP,Labor,Wanguri,2416
"HARKER, Rhianna",CLP,Country Liberal,Wanguri,1823
