Candidate,Party abbreviation,Party name,Electorate,Votes
"XAVIER, Francis",CLP,Country Liberal,Arafura,1308
"PASCOE, George",GRN,Greens,Arafura,426
"RIOLI, Dean",ALP,Labor,Arafura,1104
"GADAMBUA, Jeannie",FNPP,First Nations,Arafura,194
Informal,INF,Informal,Arafura,148
"BAXTER, Edan",FNPP,First Nations,Araluen,285
"LAMBLEY, Robyn",CLP,Country Liberal,Araluen,2487
"FINDLAY, Adam",ALP,Labor,Araluen,848
Informal,INF,Informal,Araluen,137
"McCARTHY, Malarndirri",ALP,Labor,Arnhem,1102
"LEE, Larisa",CLP,Country Liberal,Arnhem,1366
Informal,INF,Informal,Arnhem,76
"WILLEY, Stewart",IND,Independent,Barkly,131
"SHANNON, Valda",FNPP,First Nations,Barkly,467
"McCARTHY, Gerry",ALP,Labor,Barkly,1450
"HEALY, Rebecca",CLP,Country Liberal,Barkly,1162
Informal,INF,Informal,Barkly,122
"FEJO, Daniel",FNPP,First Nations,Blain,194
"BAHNERT, Geoff",ALP,Labor,Blain,1343
"MILLS, Terry",CLP,Country Liberal,Blain,2462
Informal,INF,Informal,Blain,142
"FURPHY, Colin",IND,Independent,Braitling,204
"ROCK, Deborah",ALP,Labor,Braitling,613
"GILES, Adam",CLP,Country Liberal,Braitling,2372
"SHAW, Barbara",GRN,Greens,Braitling,321
Informal,INF,Informal,Braitling,88
"CHANDLER, Peter",CLP,Country Liberal,Brennan,2683
"JEFFREY, Russell",ALP,Labor,Brennan,1493
Informal,INF,Informal,Brennan,93
"VATSKALIS, Kon",ALP,Labor,Casuarina,2512
"JOHNSON, Jane",CLP,Country Liberal,Casuarina,1724
Informal,INF,Informal,Casuarina,89
"HIGGINS, Gary",CLP,Country Liberal,Daly,1892
"POLLOCK, David",GRN,Greens,Daly,187
"JENKINS, Trevor",IND,Independent,Daly,68
"KNIGHT, Rob",ALP,Labor,Daly,1445
"RISK, Bill",FNPP,First Nations,Daly,109
Informal,INF,Informal,Daly,214
"BURKE, James",ALP,Labor,Drysdale,1142
"BOHLIN, Ross",IND,Independent,Drysdale,657
"FINOCCHIARO, Lia",CLP,Country Liberal,Drysdale,2336
Informal,INF,Informal,Drysdale,137
