District,Candidate,Party,Votes
Arafura,Francis Xavier KURRUPUWU,CLP,1020
Arafura,Lawrence COSTA,ALP,1234
Arafura,Exhaused,EXH,95
Araluen,Robyn LAMBLEY,Ind,2604
Araluen,Stephen BROWN,CLP,1873
Araluen,Exhaused,EXH,243
Arnhem,Selena UIBO,ALP,1777
Arnhem,Ian GUMBULA,CLP,985
Arnhem,Exhaused,EXH,132
Barkly,Elliot McADAM,Ind,1257
Barkly,Gerry McCARTHY,ALP,1739
Barkly,Exhaused,EXH,222
Blain,Damian HALE,ALP,1849
Blain,Terry MILLS,Ind,1953
Blain,Exhaused,EXH,479
Braitling,Dale WAKEFIELD,ALP,2314
Braitling,Adam GILES,CLP,2287
Braitling,Exhaused,EXH,288
Brennan,Tony SIEVERS,ALP,2077
Brennan,Peter CHANDLER,CLP,1869
Brennan,Exhaused,EXH,91
Casuarina,Giovanna WEBB,CLP,1694
Casuarina,Lauren MOSS,ALP,2688
Casuarina,Exhaused,EXH,0
Daly,Anthony VENES,ALP,1617
Daly,Gary HIGGINS,CLP,1772
Daly,Exhaused,EXH,341
Drysdale,Ben HOSKING,CLP,1597
Drysdale,Eva LAWLER,ALP,1971
Drysdale,Exhaused,EXH,317
Fannie Bay,Michael GUNNER,ALP,2688
Fannie Bay,Karen BROWN,CLP,1499
Fannie Bay,Exhaused,EXH,115
Fong Lim,Jeff COLLINS,ALP,2171
Fong Lim,Tim DIXON,CLP,1588
Fong Lim,Exhaused,EXH,222
Goyder,Kezia PURICK,Ind,3109
Goyder,Carolyn REYNOLDS,CLP,1020
Goyder,Exhaused,EXH,410
Johnston,Steven KLOSE,CLP,1339
Johnston,Ken VOWLES,ALP,2453
Johnston,Exhaused,EXH,137
Karama,Ngaree Jane AH KIT,ALP,1702
Karama,Delia LAWRIE,Ind,1647
Karama,Exhaused,EXH,691
Katherine,Sandra NELSON,ALP,1843
Katherine,Willem WESTRA VAN HOLTHE,CLP,1810
Katherine,Exhaused,EXH,420
Namatjira,Heidi WILLIAMS,CLP,1235
Namatjira,Chansey PAECH,ALP,1742
Namatjira,Exhaused,EXH,138
Nelson,Gerry WOOD,Ind,3209
Nelson,Gerard MALEY,CLP,1189
Nelson,Exhaused,EXH,237
Nhulunbuy,Lynne WALKER,ALP,1640
Nhulunbuy,Yingiya Mark GUYULA,Ind,1648
Nhulunbuy,Exhaused,EXH,97
Nightcliff,Natasha FYLES,ALP,3049
Nightcliff,Ted DUNSTAN,CLP,918
Nightcliff,Exhaused,EXH,112
Port Darwin,Paul KIRBY,ALP,1875
Port Darwin,Rohan KELLY,CLP,1676
Port Darwin,Exhaused,EXH,343
Sanderson,Kate WORDEN,ALP,2578
Sanderson,Peter STYLES,CLP,1680
Sanderson,Exhaused,EXH,185
Spillett,Phil TILBROOK,ALP,1428
Spillett,Lia FINOCCHIARO,CLP,2438
Spillett,Exhaused,EXH,194
Stuart,Scott McCONNELL,ALP,2114
Stuart,Bess Nungarrayi PRICE,CLP,690
Stuart,Exhaused,EXH,70
Wanguri,Steven DOHERTY,CLP,1302
Wanguri,Nicole MANISON,ALP,3026
Wanguri,Exhaused,EXH,237
