District,Candidate,Party,Votes
Arafura,Francis Xavier KURRUPUWU,CLP,903
Arafura,Jon LOTU,1TP,284
Arafura,Tristan MUNGATOPI,Ind,75
Arafura,Lawrence COSTA,ALP,1087
Arafura,Informal,INF,34
Arafura,Enrolment,ENR,4848
Araluen,Adam FINDLAY,ALP,1165
Araluen,Robyn LAMBLEY,Ind,1835
Araluen,Stephen BROWN,CLP,1720
Araluen,Informal,INF,106
Araluen,Enrolment,ENR,5850
Arnhem,Selena UIBO,ALP,1565
Arnhem,Lance LAWRENCE,Ind,211
Arnhem,James GAYKAMANGU,1TP,197
Arnhem,Ian GUMBULA,CLP,804
Arnhem,Larisa LEE,Ind,117
Arnhem,Informal,INF,78
Arnhem,Enrolment,ENR,5158
Barkly,Elliot McADAM,Ind,869
Barkly,Tony JACK,CLP,595
Barkly,Jack GREEN,Ind,367
Barkly,Gerry McCARTHY,ALP,1387
Barkly,Informal,INF,53
Barkly,Enrolment,ENR,5183
Blain,Gregory John KNOWLES,Ind,241
Blain,Damian HALE,ALP,1597
Blain,Marie-Clare BOOTHBY,CLP,1102
Blain,Terry MILLS,Ind,1341
Blain,Informal,INF,121
Blain,Enrolment,ENR,5576
Braitling,Dale WAKEFIELD,ALP,1601
Braitling,Eli MELKY,Ind,211
Braitling,Adam GILES,CLP,2091
Braitling,Dalton DUPUY,GRN,493
Braitling,Alfred GOULD,Ind,36
Braitling,Jane CLARK,Ind,125
Braitling,Phil WALCOTT,Ind,332
Braitling,Informal,INF,84
Braitling,Enrolment,ENR,5998
Brennan,Dorothy FOX,1TP,314
Brennan,Tony SIEVERS,ALP,1939
Brennan,Peter CHANDLER,CLP,1784
Brennan,Informal,INF,122
Brennan,Enrolment,ENR,5204
Casuarina,Giovanna WEBB,CLP,1694
Casuarina,Lauren MOSS,ALP,2688
Casuarina,Informal,INF,117
Casuarina,Enrolment,ENR,5457
Daly,Allan Arthur McKAY,Ind,166
Daly,Anthony VENES,ALP,1361
Daly,Joan GROWDEN,1TP,246
Daly,Ian Robert BARRY,CEC,37
Daly,Regina McCARTHY,Ind,128
Daly,Thong Sum LEE,Ind,90
Daly,Gary HIGGINS,CLP,1583
Daly,Kevin WANGANEEN,Ind,119
Daly,Informal,INF,94
Daly,Enrolment,ENR,5386
Drysdale,Lyle MACKAY,Ind,395
Drysdale,David CARTWRIGHT,1TP,165
Drysdale,Hayden BRAY,GRN,250
Drysdale,Ben HOSKING,CLP,1341
Drysdale,Eva LAWLER,ALP,1593
Drysdale,Margy KERLE,Ind,141
Drysdale,Informal,INF,111
Drysdale,Enrolment,ENR,5460
Fannie Bay,Michael GUNNER,ALP,2550
Fannie Bay,Greg STRETTLES,1TP,351
Fannie Bay,Karen BROWN,CLP,1401
Fannie Bay,Informal,INF,95
Fannie Bay,Enrolment,ENR,5613
Fong Lim,Jeff COLLINS,ALP,1802
Fong Lim,Sue FRASER-ADAMS,1TP,356
Fong Lim,Ilana ELDRIDGE,Ind,384
Fong Lim,Tim DIXON,CLP,1439
Fong Lim,Informal,INF,74
Fong Lim,Enrolment,ENR,5353
Goyder,Kezia PURICK,Ind,2496
Goyder,Carolyn REYNOLDS,CLP,919
Goyder,Billee McGINLEY,GRN,188
Goyder,Mick TAYLOR,ALP,860
Goyder,Peter Flynn,CEC,76
Goyder,Informal,INF,78
Goyder,Enrolment,ENR,5587
Johnston,Melanie ROSS,GRN,676
Johnston,Steven KLOSE,CLP,1234
Johnston,Ken VOWLES,ALP,2019
Johnston,Informal,INF,77
Johnston,Enrolment,ENR,4983
Karama,Edward D SOLO,1TP,249
Karama,Trevor JENKINS,Ind,79
Karama,Sonja JEBBINK,Ind,56
Karama,Ngaree Jane AH KIT,ALP,1373
Karama,Jarred ILETT,CLP,923
Karama,Delia LAWRIE,Ind,1316
Karama,Jimmy GIMINI,Ind,44
Karama,Informal,INF,93
Karama,Enrolment,ENR,5228
Katherine,Dean Maxwell DAVID,Ind,285
Katherine,Sandra NELSON,ALP,1274
Katherine,Willem WESTRA VAN HOLTHE,CLP,1434
Katherine,Leon CELLIER,Ind,58
Katherine,Braedon EARLEY,1TP,744
Katherine,Chris RIGHTON,SFP,278
Katherine,Informal,INF,66
Katherine,Enrolment,ENR,5285
Namatjira,Vincent FORRESTER,GRN,484
Namatjira,Heidi WILLIAMS,CLP,1024
Namatjira,Alan KEELING,Ind,165
Namatjira,Chansey PAECH,ALP,1442
Namatjira,Informal,INF,56
Namatjira,Enrolment,ENR,5435
Nelson,Brigid McCULLOUGH,CEC,47
Nelson,Gerry WOOD,Ind,2804
Nelson,Kirsty HUNT,ALP,510
Nelson,Marty REINHOLD,SFP,245
