district_name,district_id,candidate_id,candidate_name,surname,first_name,party_code,ballot_order,votes
Albert,1,1,"Boothman, Mark",Boothman,Mark,LNP,1,14872
Albert,1,3,"McMahon, Melissa",McMahon,Melissa,ALP,3,13911
Albert,1,998,Exhausted,Exhausted,Exhausted,EXH,998,2744
Algester,2,6,"Shorten, Anthony",Shorten,Anthony,LNP,1,11770
Algester,2,9,"Enoch, Leeanne",Enoch,Leeanne,ALP,4,15594
Algester,2,998,Exhausted,Exhausted,Exhausted,EXH,998,1065
Ashgrove,3,11,"Newman, Campbell",Newman,Campbell,LNP,2,13498
Ashgrove,3,14,"Jones, Kate",Jones,Kate,ALP,5,16009
Ashgrove,3,998,Exhausted,Exhausted,Exhausted,EXH,998,577
Aspley,4,16,"Davis, Tracy",Davis,Tracy,LNP,2,15276
Aspley,4,17,"Dallaston, Gayle",Dallaston,Gayle,ALP,3,12412
Aspley,4,998,Exhausted,Exhausted,Exhausted,EXH,998,678
Barron River,5,20,"Crawford, Craig",Crawford,Craig,ALP,3,16764
Barron River,5,21,"Trout, Michael",Trout,Michael,LNP,4,14794
Barron River,5,998,Exhausted,Exhausted,Exhausted,EXH,998,1775
Beaudesert,6,22,"Hohenhaus, Kay",Hohenhaus,Kay,ALP,1,12138
Beaudesert,6,25,"Krause, Jon",Krause,Jon,LNP,4,16440
Beaudesert,6,998,Exhausted,Exhausted,Exhausted,EXH,998,3204
Brisbane Central,7,29,"Grace, Grace",Grace,Grace,ALP,2,14334
Brisbane Central,7,31,"Cavallucci, Robert",Cavallucci,Robert,LNP,4,12584
Brisbane Central,7,998,Exhausted,Exhausted,Exhausted,EXH,998,1884
Broadwater,8,35,"Toland, Penny",Toland,Penny,ALP,4,10885
Broadwater,8,37,"Barton, Verity",Barton,Verity,LNP,6,14544
Broadwater,8,998,Exhausted,Exhausted,Exhausted,EXH,998,3094
Buderim,9,39,"Hughes, Elaine",Hughes,Elaine,ALP,1,9954
Buderim,9,42,"Dickson, Steve",Dickson,Steve,LNP,4,16353
Buderim,9,998,Exhausted,Exhausted,Exhausted,EXH,998,2764
Bulimba,10,43,"Dillaway, Aaron",Dillaway,Aaron,LNP,1,13077
