district_name,district_id,candidate_id,candidate_name,surname,first_name,party_code,ballot_order,votes
Albert,1,1,"Boothman, Mark",Boothman,Mark,LNP,1,13597
Albert,1,2,"Best, Amanda",Best,Amanda,FFP,2,1434
Albert,1,3,"McMahon, Melissa",McMahon,Melissa,ALP,3,11145
Albert,1,4,"Cajdler, Jane",Cajdler,Jane,GRN,4,1923
Albert,1,5,"Brewster, Blair",Brewster,Blair,PUP,5,3428
Albert,1,999,Informal,Informal,Informal,INF,999,906
Algester,2,6,"Shorten, Anthony",Shorten,Anthony,LNP,1,11247
Algester,2,7,"Wolf, Susan",Wolf,Susan,GRN,2,2056
Algester,2,8,"Forshaw, Kevin",Forshaw,Kevin,IND,3,1037
Algester,2,9,"Enoch, Leeanne",Enoch,Leeanne,ALP,4,14089
Algester,2,999,Informal,Informal,Informal,INF,999,679
Ashgrove,3,10,"Cicchini, Connie",Cicchini,Connie,IND,1,279
Ashgrove,3,11,"Newman, Campbell",Newman,Campbell,LNP,2,13125
Ashgrove,3,12,"Jeremijenko, Peter",Jeremijenko,Peter,IND,3,261
Ashgrove,3,13,"Hogg, Robert",Hogg,Robert,GRN,4,3047
Ashgrove,3,14,"Jones, Kate",Jones,Kate,ALP,5,13372
Ashgrove,3,999,Informal,Informal,Informal,INF,999,313
Aspley,4,15,"Clothier, Noel",Clothier,Noel,GRN,1,2663
Aspley,4,16,"Davis, Tracy",Davis,Tracy,LNP,2,14868
Aspley,4,17,"Dallaston, Gayle",Dallaston,Gayle,ALP,3,10835
Aspley,4,999,Informal,Informal,Informal,INF,999,497
Barron River,5,18,"Castley-Wright, Noel",Castley-Wright,Noel,GRN,1,3392
Barron River,5,19,"Schebella, Andrew",Schebella,Andrew,PUP,2,2937
Barron River,5,20,"Crawford, Craig",Crawford,Craig,ALP,3,13138
Barron River,5,21,"Trout, Michael",Trout,Michael,LNP,4,13866
Barron River,5,999,Informal,Informal,Informal,INF,999,710
Beaudesert,6,22,"Hohenhaus, Kay",Hohenhaus,Kay,ALP,1,9281
Beaudesert,6,23,"Ishaac, Adele",Ishaac,Adele,PUP,2,1989
Beaudesert,6,24,"Agnoletto, Pietro",Agnoletto,Pietro,GRN,3,2613
Beaudesert,6,25,"Krause, Jon",Krause,Jon,LNP,4,15086
Beaudesert,6,26,"Fredericks, Jeremy",Fredericks,Jeremy,FFP,5,668
Beaudesert,6,27,"Bowyer, Robert",Bowyer,Robert,ON,6,2145
Beaudesert,6,999,Informal,Informal,Informal,INF,999,753
Brisbane Central,7,28,"Jones, Kai",Jones,Kai,IND,1,815
Brisbane Central,7,29,"Grace, Grace",Grace,Grace,ALP,2,10590
Brisbane Central,7,30,"Lovejoy, Kirsten",Lovejoy,Kirsten,GRN,3,5355
Brisbane Central,7,31,"Cavallucci, Robert",Cavallucci,Robert,LNP,4,12042
Brisbane Central,7,999,Informal,Informal,Informal,INF,999,481
Broadwater,8,32,"Kwon, Daniel",Kwon,Daniel,GRN,1,2145
Broadwater,8,33,"Javanmard, Amin-Reza",Javanmard,Amin-Reza,IND,2,252
Broadwater,8,34,"Pollock, Phil",Pollock,Phil,ON,3,1061
Broadwater,8,35,"Toland, Penny",Toland,Penny,ALP,4,8844
Broadwater,8,36,"Sokolov, George",Sokolov,George,PUP,5,1696
Broadwater,8,37,"Barton, Verity",Barton,Verity,LNP,6,13537
Broadwater,8,38,"Ballantyne, Stuart",Ballantyne,Stuart,FFP,7,988
Broadwater,8,999,Informal,Informal,Informal,INF,999,748
Buderim,9,39,"Hughes, Elaine",Hughes,Elaine,ALP,1,6627
Buderim,9,40,"Etheridge, Sue",Etheridge,Sue,GRN,2,3366
Buderim,9,41,"Lazarus, Tess",Lazarus,Tess,PUP,3,3781
Buderim,9,42,"Dickson, Steve",Dickson,Steve,LNP,4,15297
Buderim,9,999,Informal,Informal,Informal,INF,999,625
