District,Candidate,Party,Votes
Adelaide,"SEBBEN, Ruben",RAH,704
Adelaide,"BAIS, Laury",FFP,303
Adelaide,"MCGRATH, Shaun",FREE,97
Adelaide,"BIRDSEYE, Tom",G4C,350
Adelaide,"APOSTOLOU, Nick",FLT,282
Adelaide,"SANDERSON, Rachel",LIB,8956
Adelaide,"FERRIS, Brett",GRN,2344
Adelaide,"LOMAX-SMITH, Jane",ALP,6710
Adelaide,Informal votes,INF,787
Ashford,"MUNRO, Robyn",FFP,969
Ashford,"BONHAM, Jennifer",GRN,2806
Ashford,"KEY, Steph",ALP,9218
Ashford,Informal votes,INF,664
Bragg,"FITZGERALD, Brendan",GRN,2679
Bragg,"CHAPMAN, Vickie",LIB,13726
Bragg,"ZOLLO, Nick",FFP,614
Bragg,Informal votes,INF,416
Bright,"STOCK, Meredith",RAH,298
Bright,"ROOS, Shane",IND,188
Bright,"FOX, Chloe",ALP,9022
Bright,"KALOGIANNIS, Nick",FLT,194
Bright,"GOSS, Graham",GRN,1669
Bright,"KOURTESIS, Maria",LIB,9415
Bright,Informal votes,INF,641
Chaffey,"PEAKE, David",IND,398
Chaffey,"JORDAN, James",GRN,395
Chaffey,"MAYWALD, Karlene",NP,7310
Chaffey,"WHETSTONE, Tim",LIB,8958
Chaffey,"TELFER, Roly",CLP,1439
Chaffey,Informal votes,INF,640
Cheltenham,"WEATHERILL, Jay",ALP,11326
Cheltenham,"SHIGROV, Walter",FFP,1093
Cheltenham,"CHILD, Henrietta",IND,1548
Cheltenham,"DOWNTON, Paul",GRN,1282
Cheltenham,Informal votes,INF,908
Colton,"MORICHOVITIS, Peter",LIB,8393
Colton,"POWER, Denis",FFP,754
Colton,"CAICA, Paul",ALP,9862
Colton,"DOUGLAS, Jim",GRN,1735
Colton,Informal votes,INF,821
Croydon,"YATES, Shaun",DEM,505
Croydon,"TENNIKOFF, Alex",FFP,682
Croydon,"NICHOLSON, Kat",G4C,726
Croydon,"ATKINSON, Michael",ALP,10200
Croydon,"GALANTI, Max",IND,1143
Croydon,"HICKEY, James",GRN,1743
Croydon,Informal votes,INF,1002
Davenport,"ELLIOTT, Nat",GRN,2892
Davenport,"DE JONGE, Robert",IND,568
Davenport,"WANGMANN, James",ALP,5134
Davenport,"BURFIELD, Natasha",FFP,808
Davenport,"MEDDER, Bridgid",DEM,408
Davenport,Informal votes,INF,542
Elder,"BULLEN, Daryl",GRN,2408
Elder,"CONLON, Pat",ALP,8805
Elder,"TURNER, Ben",LIB,7691
Elder,"CROKE, Greg",DEM,437
Elder,Informal votes,INF,791
Enfield,"DEWEY, Brett",FFP,1214
Enfield,"STANKO, Andrew",IND,432
Enfield,"WESTLEY, Luke",LIB,6222
Enfield,"SIMMS, Robert",GRN,1601
Enfield,Informal votes,INF,876
Finniss,"HICKS, Bruce",FFP,1736
Finniss,"ATKINSON, Diane",GRN,1733
Finniss,"PENGILLY, Michael",LIB,10450
Finniss,"ZALUPS, Maris",IND,246
Finniss,Informal votes,INF,472
Fisher,"CHRISTOPOULOS, Adriana",ALP,4986
Fisher,"WRIGHT, Penny",GRN,1210
Fisher,"SUCH, Bob",IND,9094
Fisher,"NOLAN, Trish",FFP,996
Fisher,Informal votes,INF,564
Flinders,"WRIGHT, Felicity",GRN,1394
Flinders,"TRELOAR, Peter",LIB,11689
Flinders,"KLEIN, Wilbur",NP,2969
Flinders,"WILSON, Grant",FFP,979
Flinders,Informal votes,INF,565
Florey,"MARANTOS, Denes",RAH,905
Florey,"GRAHAM, Andrew",FFP,1380
Florey,"BEDFORD, Frances",ALP,9339
Florey,"MCKAY, J craig",GRN,1347
Florey,Informal votes,INF,756
Frome,"O'BRIEN, Joy",GRN,644
Frome,"BOYLAN, Terry",LIB,7713
Frome,"ROHDE, John",CLP,3900
Frome,"VAN DISSEL, Max",RAH,328
Frome,"BROCK, Geoff",IND,7965
Frome,Informal votes,INF,587
Giles,"MELVILLE-SMITH, Andrew",GRN,2290
Giles,"KAMINSKI, Cheryl",FFP,1134
Giles,"OLDFIELD, Chad",LIB,5533
Giles,Informal votes,INF,693
Goyder,"GRIFFITHS, Steven",LIB,12524
Goyder,"MUNRO, Dave",FREE,499
Goyder,"HANSFORD, Christopher",CLP,5243
Goyder,"FORREST, Joy",GRN,1046
Goyder,Informal votes,INF,856
Hammond,"PEDERICK, Adrian",LIB,13340
Hammond,"MACLEOD, Hannah",CLP,4973
Hammond,"FOSDIKE, Joanne",FFP,1536
Hammond,Informal votes,INF,731
Hartley,"FREER, Mark",DLP,326
Hartley,"PORTOLESI, Grace",ALP,8560
Hartley,"WALTHAM, Robert",RAH,500
Hartley,"SCALZI, Joe",LIB,8104
Hartley,"MARONA, Natasha",FLT,187
Hartley,"OEHME, Keith",GRN,1451
Hartley,Informal votes,INF,793
Heysen,"GHELLER, Stephanie",ALP,4278
Heysen,"CASTRIQUE, Andrew",DEM,416
Heysen,"VONOW, Lynton",GRN,3662
Heysen,"DAY, John",FFP,728
Heysen,Informal votes,INF,568
Kaurna,"BIRD, Trisha",LIB,7036
Kaurna,"WUTTKE, Jason",FREE,254
Kaurna,"NICHOLLS, Marie",DEM,365
Kaurna,"HILL, John",ALP,10353
Kaurna,"CHAPPELL, James",FFP,1176
Kaurna,Informal votes,INF,751
Kavel,"FULBROOK, John",ALP,4861
Kavel,"CROFT, Colin",FFP,1110
Kavel,"GOLDSWORTHY, Mark",LIB,11389
Kavel,"GROSSER, Ian",GRN,2604
Kavel,Informal votes,INF,602
Lee,"BRITON, Bob",IND,609
Lee,"WRIGHT, Michael",ALP,9734
Lee,"GOW, Sue",LIB,7266
Lee,"THOMAS, Colin",IND,492
Lee,"JOSHI, Yesha",GRN,1713
Lee,"ROSSI, Joe",IND,458
Lee,Informal votes,INF,1035
Light,"PICCOLO, Tony",ALP,10077
