District,Candidate,Party,Votes
Albert Park,"THWAITES, John",ALP,21502
Albert Park,"SMITH, Clive",Liberal,14523
Albert Park,"THWAITES, John",ALP,21145
Albert Park,"SMITH, Clive",Liberal,14560
Altona,"SOYLEMEZ, Ian",Liberal,10974
Altona,"KOSKY, Lynne",ALP,25869
Ballarat East,"HOWARD, Geoff",ALP,18850
Ballarat East,"HAYES, Geoff",Liberal,14429
Ballarat East,"HOWARD, Geoff",ALP,18972
Ballarat East,"HAYES, Geoff",Liberal,14424
Ballarat West,"OVERINGTON, Karen",ALP,20751
Ballarat West,"BRENNAN, Shane",Liberal,15953
Ballarat West,"OVERINGTON, Karen",ALP,20761
Ballarat West,"BRENNAN, Shane",Liberal,15948
Bass,"FLETCHER, Tully",Greens,3786
Bass,"SMITH, Ken",Liberal,18634
Bass,"ANDERSON, John",ALP,13349
Bass,"SMITH, Ken",Liberal,19882
Bass,"ANDERSON, John",ALP,15926
Bayswater,"VICTORIA, Heidi",Liberal,16941
Bayswater,"LOCKWOOD, Peter",ALP,15088
Bayswater,"VICTORIA, Heidi",Liberal,16982
Bayswater,"LOCKWOOD, Peter",ALP,15164
Bellarine,"NEVILLE, Lisa",ALP,21528
Bellarine,"GIBSON, Don",Liberal,15622
Bellarine,"NEVILLE, Lisa",ALP,21513
Bellarine,"GIBSON, Don",Liberal,15604
Benalla,"MITCHELL, Rob",ALP,10437
Benalla,"SYKES, Bill",Nationals,21687
Benalla,"MITCHELL, Rob",ALP,10404
Benalla,"SYKES, Bill",Nationals,21643
Benambra,"MAHOOD, Lisa",ALP,13288
Benambra,"TILLEY, Bill",Liberal,18132
Benambra,"MAHOOD, Lisa",ALP,13255
Benambra,"TILLEY, Bill",Liberal,18135
Bendigo East,"GIBBINS, Kevin",Liberal,15309
Bendigo East,"ALLAN, Jacinta",ALP,19009
Bendigo East,"GIBBINS, Kevin",Liberal,15332
Bendigo East,"ALLAN, Jacinta",ALP,19008
Bendigo West,"McCLURE, Bruce",Liberal,12831
Bendigo West,"RADFORD, Sue-Ellen",Greens,4549
Bendigo West,"CAMERON, Bob",ALP,17950
Bendigo West,"McCLURE, Bruce",Liberal,13965
Bendigo West,"CAMERON, Bob",ALP,21447
Bentleigh,"GOBBO, James",Liberal,14696
Bentleigh,"HUDSON, Rob",ALP,18950
Bentleigh,"GOBBO, James",Liberal,14794
Bentleigh,"HUDSON, Rob",ALP,18984
