District,Candidate,Party,Votes
Albert Park,"REECE, David",CEC,269
Albert Park,"THWAITES, John",ALP,14787
Albert Park,"JACKSON, Adrian",,458
Albert Park,"MIDDLETON, John",Greens,6871
Albert Park,"SMITH, Clive",Liberal,12479
Albert Park,"ROBERTSON, Sam",FAMILY FIRST,390
Albert Park,"PAVLIS, Stratos",PEOPLE POWER,771
Albert Park,Informal votes,INF,1630
Altona,"SOYLEMEZ, Ian",Liberal,8804
Altona,"BISCHOF, Andreas",Greens,3101
Altona,"KOSKY, Lynne",ALP,22332
Altona,"BERNARD, David",FAMILY FIRST,2609
Altona,Informal votes,INF,2398
Ballarat East,"BAILEY, Grace",FAMILY FIRST,1690
Ballarat East,"HADDEN, Dianne",,2199
Ballarat East,"HOWARD, Geoff",ALP,14292
Ballarat East,"HAYES, Geoff",Liberal,11183
Ballarat East,"HARVIE, Michele",Greens,3915
Ballarat East,Informal votes,INF,1328
Ballarat West,"COATES, Belinda",Greens,3631
Ballarat West,"BUTTERFIELD, Dale",FAMILY FIRST,1847
Ballarat West,"OVERINGTON, Karen",ALP,17292
Ballarat West,"BRENNAN, Shane",Liberal,13934
Ballarat West,Informal votes,INF,1395
Bass,"FLETCHER, Tully",Greens,3169
Bass,"SMITH, Ken",Liberal,16584
Bass,"BEGG, Cameron",FAMILY FIRST,1613
Bass,"ANDERSON, John",ALP,12517
Bass,"BILLING-SMITH, Cheryl",,611
Bass,"ABBOTT, Jacky",Nationals,1275
Bass,Informal votes,INF,1705
Bayswater,"ASHLEY, Gordon",,2935
Bayswater,"TENNANT, James",Greens,2526
Bayswater,"RASKOVY, Steve",,157
Bayswater,"MORTIMER, Stephanie",PEOPLE POWER,334
Bayswater,"VICTORIA, Heidi",Liberal,13162
Bayswater,"LOCKWOOD, Peter",ALP,11563
Bayswater,"BEILHARZ, Kurt",CEC,67
Bayswater,"MURPHY, Warwick",FAMILY FIRST,1285
Bayswater,Informal votes,INF,1955
Bellarine,"TEAGUE, Justin",Greens,3564
Bellarine,"LENGYEL, Len",FAMILY FIRST,1751
Bellarine,"NEVILLE, Lisa",ALP,18014
Bellarine,"GIBSON, Don",Liberal,13821
Bellarine,Informal votes,INF,1354
Benalla,"MITCHELL, Rob",ALP,8094
Benalla,"RAINEY, James A.",FAMILY FIRST,819
Benalla,"McMILLAN, Hamish",Liberal,7396
Benalla,"SYKES, Bill",Nationals,13533
Benalla,"CORDNER HUNT, Kammy",Greens,2282
Benalla,Informal votes,INF,1211
Benambra,"MAHOOD, Lisa",ALP,10358
Benambra,"ROBINSON, Helen Judith",Greens,2109
Benambra,"BAXTER, Bill",Nationals,5680
Benambra,"CORBOY, Martin",FAMILY FIRST,842
Benambra,"PEARCE, Shane",,296
Benambra,"TILLEY, Bill",Liberal,12135
Benambra,Informal votes,INF,1083
Bendigo East,"GIBBINS, Kevin",Liberal,11809
Bendigo East,"HARDY, Gail",FAMILY FIRST,1486
Bendigo East,"MANNING, John",Nationals,2193
Bendigo East,"JAMES, Colin",PEOPLE POWER,224
Bendigo East,"ALLAN, Jacinta",ALP,16038
Bendigo East,"BARDSLEY, John",Greens,2464
Bendigo East,Informal votes,INF,1413
Bendigo West,"McCLURE, Bruce",Liberal,10310
Bendigo West,"RADFORD, Sue-Ellen",Greens,3877
Bendigo West,"MURRELLS, Glenn",Nationals,2227
Bendigo West,"CAMERON, Bob",ALP,17120
Bendigo West,"HARRISON, Rachel",FAMILY FIRST,1796
Bendigo West,Informal votes,INF,1413
Bentleigh,"GOBBO, James",Liberal,13347
Bentleigh,"D'ARCY, Peter",Greens,3428
Bentleigh,"HUDSON, Rob",ALP,15811
Bentleigh,"PORTELLI, Michael John",FAMILY FIRST,916
Bentleigh,"HORNE, Colin",CEC,144
Bentleigh,Informal votes,INF,1365
Box Hill,"CAMPBELL, Peter",Greens,4809
Box Hill,"CHONG, Robert",ALP,11165
Box Hill,"CUMMINS, Christine",PEOPLE POWER,339
Box Hill,"CLARK, Robert",Liberal,16872
Box Hill,"ONG, Gary",FAMILY FIRST,908
Box Hill,Informal votes,INF,1171
Brighton,"HAYES, Clifford",,1398
Brighton,"WALTERS, Jonathan",Greens,4372
Brighton,"FREEMAN, Mark",FAMILY FIRST,592
Brighton,"SHELTON, Jane",ALP,8473
Brighton,"ASHER, Louise",Liberal,18067
Brighton,Informal votes,INF,968
Broadmeadows,"HINES, Gerard",FAMILY FIRST,1444
Broadmeadows,"BRUMBY, John",ALP,20600
Broadmeadows,"EBEJER, Marlene",PEOPLE POWER,632
Broadmeadows,"YOHANNA, Sleiman",CEC,1381
Broadmeadows,"PARSONS, Daniel",Liberal,3928
Broadmeadows,"TAYLOR, Emily Katya",Greens,2010
Broadmeadows,"MARSHALL, Will",,459
Broadmeadows,Informal votes,INF,2743
Brunswick,"DAWES, Cyndi",Greens,9890
Brunswick,"HEARMAN, Vannessa",SA,645
Brunswick,"CARLI, Carlo",ALP,15891
Brunswick,"ARBOREA, Vince",Liberal,5800
Brunswick,"McDONALD, James Thomas",FAMILY FIRST,557
Brunswick,"ASTOURIAN, Christian",PEOPLE POWER,505
Brunswick,Informal votes,INF,2186
Bulleen,"KOTSIRAS, Nicholas",Liberal,16518
Bulleen,"MACKENZIE, Fiona",Greens,2719
Bulleen,"TONG, Carmen",FAMILY FIRST,1579
Bulleen,"CAMPBELL, Neill",ALP,10526
Bulleen,Informal votes,INF,1325
Bundoora,"JEFFORD, Sarah",Greens,3529
Bundoora,"CRONKWRIGHT, Dean",FAMILY FIRST,1550
Bundoora,"McLENNAN, Rod",CEC,303
Bundoora,"BROOKS, Colin",ALP,16868
Bundoora,"AFFORD, Kane",Liberal,9544
Bundoora,Informal votes,INF,1531
Burwood,"PRESLEY, John",Greens,4358
