district_name,district_id,candidate_id,candidate_name,surname,first_name,party_code,ballot_order,votes
Albany,1,4,"WATSON, Peter",WATSON,Peter,ALP,4,10957
Albany,1,6,"COSH, Trevor",COSH,Trevor,LIB,6,10094
Alfred Cove,2,9,"NALDER, Dean",NALDER,Dean,LIB,3,15445
Alfred Cove,2,11,"HOUSTON, David",HOUSTON,David,ALP,5,5544
Armadale,3,12,"WEBSTER, Katherine",WEBSTER,Katherine,LIB,1,8149
Armadale,3,13,"BUTI, Tony",BUTI,Tony,ALP,2,12032
Balcatta,4,17,"HATTON, Chris",HATTON,Chris,LIB,2,11886
Balcatta,4,21,"PETTIGREW, Janet",PETTIGREW,Janet,ALP,6,8841
Bassendean,5,23,"BROWN, Bob",BROWN,Bob,LIB,1,9273
Bassendean,5,26,"KELLY, Dave",KELLY,Dave,ALP,4,11397
Bateman,6,28,"TAYLOR, Matt",TAYLOR,Matt,LIB,2,13440
Bateman,6,29,"CHASLAND, Rob",CHASLAND,Rob,ALP,3,6372
Belmont,7,30,"ROWE, Cassie",ROWE,Cassie,ALP,1,9048
Belmont,7,33,"GODFREY, Glenys",GODFREY,Glenys,LIB,4,9378
Bunbury,8,35,"STEELE, Karen",STEELE,Karen,ALP,2,7255
Bunbury,8,39,"CASTRILLI, John",CASTRILLI,John,LIB,6,12420
Butler,9,43,"AITKEN, Linda",AITKEN,Linda,LIB,3,11136
Butler,9,44,"QUIGLEY, John",QUIGLEY,John,ALP,4,11951
Cannington,10,46,"JACOBS, Jesse",JACOBS,Jesse,LIB,2,9259
Cannington,10,47,"JOHNSTON, Bill",JOHNSTON,Bill,ALP,3,10054
Carine,11,49,"WEBB, Sharon",WEBB,Sharon,ALP,1,6839
Carine,11,52,"KRSTICEVIC, Tony",KRSTICEVIC,Tony,LIB,4,14625
Central Wheatbelt,12,53,"DAVIES, Mia",DAVIES,Mia,NAT,1,11168
Central Wheatbelt,12,56,"STRANGE, Stephen",STRANGE,Stephen,LIB,4,8110
Churchlands,13,59,"ASHFORTH, Patrick",ASHFORTH,Patrick,ALP,1,6756
Churchlands,13,65,"L'ESTRANGE, Sean",L'ESTRANGE,Sean,LIB,7,15887
Cockburn,14,66,"LOGAN, Fran",LOGAN,Fran,ALP,1,11993
Cockburn,14,68,"BARRETT, Don",BARRETT,Don,LIB,3,10178
Collie-Preston,15,70,"MOTION, Jaimee",MOTION,Jaimee,LIB,1,10052
Collie-Preston,15,74,"MURRAY, Mick",MURRAY,Mick,ALP,5,10108
Cottesloe,16,77,"WILLIAMS, Emma",WILLIAMS,Emma,ALP,2,6307
Cottesloe,16,80,"BARNETT, Colin",BARNETT,Colin,LIB,5,15380
Darling Range,17,81,"SIMPSON, Tony",SIMPSON,Tony,LIB,1,15178
Darling Range,17,83,"URBAN, Barry",URBAN,Barry,ALP,3,8065
Dawesville,18,86,"HAMES, Kim",HAMES,Kim,LIB,2,13088
Dawesville,18,88,"RIEBELING, Fred",RIEBELING,Fred,ALP,4,7799
Eyre,19,93,"SMITH, Greg",SMITH,Greg,ALP,3,7078
Eyre,19,95,"DE GRUSSA, Colin",DE GRUSSA,Colin,NAT,5,7203
Forrestfield,20,97,"WADDELL, Andrew",WADDELL,Andrew,ALP,2,10185
Forrestfield,20,99,"MORTON, Nathan",MORTON,Nathan,LIB,4,11076
Fremantle,21,102,"HANSSEN, Matthew",HANSSEN,Matthew,LIB,2,9094
Fremantle,21,105,"McGURK, Simone",McGURK,Simone,ALP,5,12488
Geraldton,22,107,"VAN STYN, Shane",VAN STYN,Shane,NAT,1,7517
