district_name,district_id,candidate_id,candidate_name,surname,first_name,party_code,ballot_order,votes
Albany,1,1,"CRITCHISON, Barry",CRITCHISON,Barry,FFP,1,386
Albany,1,2,"VERMEULEN, Hans",VERMEULEN,Hans,ACP,2,831
Albany,1,3,"SUTTON, Robert",SUTTON,Robert,NAT,3,4357
Albany,1,4,"WATSON, Peter",WATSON,Peter,ALP,4,8284
Albany,1,5,"EVERS, Diane",EVERS,Diane,GRN,5,1137
Albany,1,6,"COSH, Trevor",COSH,Trevor,LIB,6,6061
Albany,1,999,Informal,Informal,Informal,INF,999,828
Alfred Cove,2,7,"GOM, Estelle",GOM,Estelle,NPD,1,161
Alfred Cove,2,8,"HARMAN, Ros",HARMAN,Ros,GRN,2,1665
Alfred Cove,2,9,"NALDER, Dean",NALDER,Dean,LIB,3,13523
Alfred Cove,2,10,"WOOLLARD, Janet",WOOLLARD,Janet,IND,4,2114
Alfred Cove,2,11,"HOUSTON, David",HOUSTON,David,ALP,5,3532
Alfred Cove,2,999,Informal,Informal,Informal,INF,999,1047
Armadale,3,12,"WEBSTER, Katherine",WEBSTER,Katherine,LIB,1,6613
Armadale,3,13,"BUTI, Tony",BUTI,Tony,ALP,2,10836
Armadale,3,14,"VAN BURGEL, Jamie",VAN BURGEL,Jamie,ACP,3,1403
Armadale,3,15,"PAGES-OLIVER, Damon",PAGES-OLIVER,Damon,GRN,4,1333
Armadale,3,999,Informal,Informal,Informal,INF,999,1562
Balcatta,4,16,"YOUNG, Sheridan",YOUNG,Sheridan,GRN,1,1705
Balcatta,4,17,"HATTON, Chris",HATTON,Chris,LIB,2,10756
Balcatta,4,18,"KIDIMA, Mubarak Kim",KIDIMA,Mubarak Kim,IND,3,122
Balcatta,4,19,"DODD, Peter",DODD,Peter,ACP,4,322
Balcatta,4,20,"RUZZI, Joe",RUZZI,Joe,IND,5,234
Balcatta,4,21,"PETTIGREW, Janet",PETTIGREW,Janet,ALP,6,7341
Balcatta,4,22,"CROLL, Lesley",CROLL,Lesley,FFP,7,264
Balcatta,4,999,Informal,Informal,Informal,INF,999,1727
Bassendean,5,23,"BROWN, Bob",BROWN,Bob,LIB,1,8167
Bassendean,5,24,"MEWHOR, Paul",MEWHOR,Paul,ACP,2,733
Bassendean,5,25,"CARTER, Jennie",CARTER,Jennie,GRN,3,2119
Bassendean,5,26,"KELLY, Dave",KELLY,Dave,ALP,4,9663
Bassendean,5,999,Informal,Informal,Informal,INF,999,1854
Bateman,6,27,"LEIGHTON, Rebecca",LEIGHTON,Rebecca,GRN,1,2081
Bateman,6,28,"TAYLOR, Matt",TAYLOR,Matt,LIB,2,12692
Bateman,6,29,"CHASLAND, Rob",CHASLAND,Rob,ALP,3,5044
Bateman,6,999,Informal,Informal,Informal,INF,999,1452
Belmont,7,30,"ROWE, Cassie",ROWE,Cassie,ALP,1,7827
Belmont,7,31,"WOLFF, Steve",WOLFF,Steve,GRN,2,1504
Belmont,7,32,"KLOMP, Steve",KLOMP,Steve,ACP,3,421
Belmont,7,33,"GODFREY, Glenys",GODFREY,Glenys,LIB,4,8679
Belmont,7,999,Informal,Informal,Informal,INF,999,1317
Bunbury,8,34,"CANEDOLI, Lui Alfa",CANEDOLI,Lui Alfa,IND,1,285
Bunbury,8,35,"STEELE, Karen",STEELE,Karen,ALP,2,5595
Bunbury,8,36,"DABROWSKI, Edward",DABROWSKI,Edward,ACP,3,243
Bunbury,8,37,"HUTCHINS, Mitchella",HUTCHINS,Mitchella,GRN,4,1250
Bunbury,8,38,"ROSE, Linda",ROSE,Linda,FFP,5,374
Bunbury,8,39,"CASTRILLI, John",CASTRILLI,John,LIB,6,10375
Bunbury,8,40,"FORSYTH, James",FORSYTH,James,NAT,7,1562
Bunbury,8,999,Informal,Informal,Informal,INF,999,1320
Butler,9,41,"WEBSTER, Thomas",WEBSTER,Thomas,GRN,1,2067
Butler,9,42,"LEEDER, Steven",LEEDER,Steven,ACP,2,529
Butler,9,43,"AITKEN, Linda",AITKEN,Linda,LIB,3,9991
Butler,9,44,"QUIGLEY, John",QUIGLEY,John,ALP,4,10510
Butler,9,999,Informal,Informal,Informal,INF,999,1699
Cannington,10,45,"CUNNINGHAM, Christine",CUNNINGHAM,Christine,GRN,1,1850
Cannington,10,46,"JACOBS, Jesse",JACOBS,Jesse,LIB,2,8310
Cannington,10,47,"JOHNSTON, Bill",JOHNSTON,Bill,ALP,3,8457
Cannington,10,48,"HARRINGTON, Mark",HARRINGTON,Mark,IND,4,702
Cannington,10,999,Informal,Informal,Informal,INF,999,1536
Carine,11,49,"WEBB, Sharon",WEBB,Sharon,ALP,1,5278
Carine,11,50,"CATTANEO, Nathalie",CATTANEO,Nathalie,GRN,2,2024
Carine,11,51,"DAVEY, Rick",DAVEY,Rick,ACP,3,581
Carine,11,52,"KRSTICEVIC, Tony",KRSTICEVIC,Tony,LIB,4,13582
Carine,11,999,Informal,Informal,Informal,INF,999,959
Central Wheatbelt,12,53,"DAVIES, Mia",DAVIES,Mia,NAT,1,8414
Central Wheatbelt,12,54,"WALTERS, Tricia",WALTERS,Tricia,GRN,2,637
Central Wheatbelt,12,55,"STURMAN, Gerald",STURMAN,Gerald,IND,3,474
Central Wheatbelt,12,56,"STRANGE, Stephen",STRANGE,Stephen,LIB,4,6088
Central Wheatbelt,12,57,"ADAIR, Bob",ADAIR,Bob,ACP,5,328
Central Wheatbelt,12,58,"WATTERS, John",WATTERS,John,ALP,6,3375
Central Wheatbelt,12,999,Informal,Informal,Informal,INF,999,1076
Churchlands,13,59,"ASHFORTH, Patrick",ASHFORTH,Patrick,ALP,1,3543
Churchlands,13,60,"MONKS, Wayne",MONKS,Wayne,IND,2,1828
Churchlands,13,61,"BIVOLTSIS, Jim",BIVOLTSIS,Jim,IND,3,783
Churchlands,13,62,"RE, Elizabeth",RE,Elizabeth,IND,4,1072
Churchlands,13,63,"PIDGEON, Cameron",PIDGEON,Cameron,GRN,5,1740
Churchlands,13,64,"SEYMOUR, Pat",SEYMOUR,Pat,ACP,6,327
Churchlands,13,65,"L'ESTRANGE, Sean",L'ESTRANGE,Sean,LIB,7,13366
Churchlands,13,999,Informal,Informal,Informal,INF,999,829
Cockburn,14,66,"LOGAN, Fran",LOGAN,Fran,ALP,1,10606
Cockburn,14,67,"ROSBOROUGH, Derek",ROSBOROUGH,Derek,IND,2,577
Cockburn,14,68,"BARRETT, Don",BARRETT,Don,LIB,3,9327
Cockburn,14,69,"HEWITT, Shannon",HEWITT,Shannon,GRN,4,1681
Cockburn,14,999,Informal,Informal,Informal,INF,999,1314
Collie-Preston,15,70,"MOTION, Jaimee",MOTION,Jaimee,LIB,1,8250
Collie-Preston,15,71,"KNOP, Clinton",KNOP,Clinton,NPD,2,158
Collie-Preston,15,72,"HARPER, Alice",HARPER,Alice,FFP,3,529
Collie-Preston,15,73,"HUTCHINSON, Peter",HUTCHINSON,Peter,NAT,4,1513
Collie-Preston,15,74,"MURRAY, Mick",MURRAY,Mick,ALP,5,8708
Collie-Preston,15,75,"GIBSON, Kingsley",GIBSON,Kingsley,GRN,6,1010
Collie-Preston,15,999,Informal,Informal,Informal,INF,999,1069
Cottesloe,16,76,"BOLAND, Greg",BOLAND,Greg,GRN,1,2246
Cottesloe,16,77,"WILLIAMS, Emma",WILLIAMS,Emma,ALP,2,2650
Cottesloe,16,78,"MORGAN, Kevin",MORGAN,Kevin,IND,3,2482
Cottesloe,16,79,"FEARIS, Neil",FEARIS,Neil,ACP,4,281
Cottesloe,16,80,"BARNETT, Colin",BARNETT,Colin,LIB,5,14036
Cottesloe,16,999,Informal,Informal,Informal,INF,999,781
Darling Range,17,81,"SIMPSON, Tony",SIMPSON,Tony,LIB,1,13454
Darling Range,17,82,"HARDIE, Denise",HARDIE,Denise,GRN,2,2144
Darling Range,17,83,"URBAN, Barry",URBAN,Barry,ALP,3,6494
Darling Range,17,84,"GOIRAN, Madeleine",GOIRAN,Madeleine,ACP,4,1154
Darling Range,17,999,Informal,Informal,Informal,INF,999,1539
Dawesville,18,85,"BUTLER, Bryn",BUTLER,Bryn,NAT,1,488
Dawesville,18,86,"HAMES, Kim",HAMES,Kim,LIB,2,11700
Dawesville,18,87,"BAKER, Brenton",BAKER,Brenton,FFP,3,357
Dawesville,18,88,"RIEBELING, Fred",RIEBELING,Fred,ALP,4,6050
Dawesville,18,89,"SCHUMACHER, Dave",SCHUMACHER,Dave,IND,5,1236
Dawesville,18,90,"ARMSTRONG, Patricia",ARMSTRONG,Patricia,GRN,6,1068
Dawesville,18,999,Informal,Informal,Informal,INF,999,1297
Eyre,19,91,"JOHNSON, Giorgia",JOHNSON,Giorgia,GRN,1,715
Eyre,19,92,"HILTON, Brett",HILTON,Brett,ACP,2,366
Eyre,19,93,"SMITH, Greg",SMITH,Greg,ALP,3,2082
Eyre,19,94,"JACOBS, Graham",JACOBS,Graham,LIB,4,5870
Eyre,19,95,"DE GRUSSA, Colin",DE GRUSSA,Colin,NAT,5,5258
Eyre,19,999,Informal,Informal,Informal,INF,999,816
Forrestfield,20,96,"MUNRO, Mike",MUNRO,Mike,FFP,1,678
Forrestfield,20,97,"WADDELL, Andrew",WADDELL,Andrew,ALP,2,8656
Forrestfield,20,98,"EIKELBOOM, Troy",EIKELBOOM,Troy,ACP,3,633
Forrestfield,20,99,"MORTON, Nathan",MORTON,Nathan,LIB,4,9866
Forrestfield,20,100,"BURRELL, Peter",BURRELL,Peter,GRN,5,1434
Forrestfield,20,999,Informal,Informal,Informal,INF,999,1600
Fremantle,21,101,"SULLIVAN, Andrew",SULLIVAN,Andrew,GRN,1,3925
Fremantle,21,102,"HANSSEN, Matthew",HANSSEN,Matthew,LIB,2,7760
Fremantle,21,103,"CARLES, Adele",CARLES,Adele,IND,3,1186
Fremantle,21,104,"ANDREW, Sanna",ANDREW,Sanna,NPD,4,252
Fremantle,21,105,"McGURK, Simone",McGURK,Simone,ALP,5,8249
Fremantle,21,106,"TER HORST, Jan",TER HORST,Jan,IND,6,225
Fremantle,21,999,Informal,Informal,Informal,INF,999,1219
Geraldton,22,107,"VAN STYN, Shane",VAN STYN,Shane,NAT,1,5081
Geraldton,22,108,"CONNOLLY, Paul",CONNOLLY,Paul,GRN,2,1239
Geraldton,22,109,"BLAYNEY, Ian",BLAYNEY,Ian,LIB,3,9167
Geraldton,22,110,"BURDETT, Carmen",BURDETT,Carmen,ACP,4,469
Geraldton,22,111,"MANNION, Kathryn",MANNION,Kathryn,ALP,5,3299
Geraldton,22,999,Informal,Informal,Informal,INF,999,1161
Girrawheen,23,112,"DAVEY, Mel",DAVEY,Mel,ACP,1,801
Girrawheen,23,113,"KAFAMI, Saba",KAFAMI,Saba,GRN,2,1289
Girrawheen,23,114,"QUIRK, Margaret",QUIRK,Margaret,ALP,3,9724
Girrawheen,23,115,"NGUYEN, Che Tam",NGUYEN,Che Tam,FFP,4,847
Girrawheen,23,116,"HALLIGAN, John",HALLIGAN,John,LIB,5,9408
Girrawheen,23,999,Informal,Informal,Informal,INF,999,1824
Gosnells,24,117,"BUTLER, Debbie",BUTLER,Debbie,IND,1,501
Gosnells,24,118,"FERNANDEZ, Chris",FERNANDEZ,Chris,IND,2,850
Gosnells,24,119,"GOODE, David",GOODE,David,LIB,3,8040
Gosnells,24,120,"STAER, Mark",STAER,Mark,ACP,4,782
Gosnells,24,121,"TALLENTIRE, Chris",TALLENTIRE,Chris,ALP,5,9237
Gosnells,24,122,"EDMONDS, Luke",EDMONDS,Luke,GRN,6,1207
Gosnells,24,999,Informal,Informal,Informal,INF,999,1682
